,Max_Diameter,Relative_Velocity,Miss_Distance,Categorized_Diameter,Categorized_Relative_Vel,Categorised_Miss_Distance,Hazardous,IsLarge,Norm
88621,0.1905636132,22259.0169484231,15004157.892799657,Small,Slow,Less,False,0,0.46
72120,0.0559809132,46082.4013423588,50278833.453709856,Small,Slow,More,False,0,0.46
35805,0.459240286,64694.5119604001,26366086.947715007,Large,Fast,Medium,False,1,0.48
31504,0.0941976306,65214.4292894704,60048773.42155748,Small,Fast,More,False,0,0.48
40121,0.0986370281,58948.9544900038,21516418.425882954,Small,Fast,Less,False,0,0.48
86156,0.0215794305,98137.828361029,45783735.415522754,Small,Fast,Medium,False,0,0.48
28757,0.0206081961,54926.0319215092,304899.846943952,Small,Fast,Less,False,0,0.48
46106,0.0622357573,88579.5324833498,4864121.33661041,Small,Fast,Less,False,0,0.48
39252,0.2844722965,10927.5143619853,62100933.500392094,Small,Slow,More,False,0,0.46
3015,0.7482383761,62739.30548138,33617157.34093745,Large,Fast,Medium,True,1,0.47
63806,0.0140617696,77359.1127553552,66001007.6263112,Small,Fast,More,False,0,0.48
68210,0.2844722965,65372.6200205567,46882304.546468005,Small,Fast,Medium,True,0,0.47
87148,0.2301653685,42691.2014854714,31732332.891709577,Small,Slow,Medium,False,0,0.46
76554,0.0366471308,77246.7174994118,64909730.13490634,Small,Fast,More,False,0,0.48
9891,0.0783501764,47854.5048113584,61147215.61871004,Small,Slow,More,False,0,0.46
51747,0.358129403,33142.521644306,47985799.17232323,Large,Slow,Medium,False,1,0.46
7185,2.9651043282,84574.5061665236,48800521.24489134,Large,Fast,Medium,False,1,0.48
7648,0.1081533507,19111.7440911067,5263150.556924282,Small,Slow,Less,False,0,0.46
90701,0.2344444622,37209.5875640034,24729481.70213976,Small,Slow,Less,False,0,0.46
59542,0.0115888403,27329.1820315195,13514497.05492486,Small,Slow,Less,False,0,0.46
33952,1.4257388333,93707.427571493,56615584.56892619,Large,Fast,More,True,1,0.47
77,0.8395372662,18349.9020817116,58466943.86991655,Large,Slow,More,False,1,0.46
88159,0.6792661593,73567.1973800358,57272065.709675685,Large,Fast,More,False,1,0.48
6937,1.0233871954,71849.4033583717,61638963.44464058,Large,Fast,More,False,1,0.48
30143,0.4808836139,97637.9083398749,37220402.57459696,Large,Fast,Medium,False,1,0.48
1868,0.2630510131,18883.5651327971,72653814.92442566,Small,Slow,More,False,0,0.46
85139,0.3236234466,36356.7935363652,7141801.670529159,Large,Slow,Less,True,1,0.45
28163,0.1794898848,57474.4967417876,13075510.841925466,Small,Fast,Less,False,0,0.48
76230,0.0202320542,24844.9084688089,53503993.09405656,Small,Slow,More,False,0,0.46
28733,0.7835017643,43589.085431567,12071916.05799925,Large,Slow,Less,True,1,0.45
67875,1.2303820278,74271.8591718959,50574303.08476283,Large,Fast,More,False,1,0.48
11375,0.0430566244,55632.5517141518,63852167.51546337,Small,Fast,More,False,0,0.48
40285,0.1968067451,102168.7459325132,62390416.658521496,Small,Fast,More,False,0,0.48
81140,0.0149293183,28699.8493970753,173231.49110047,Small,Slow,Less,False,0,0.46
29350,0.9863702813,68726.3212308625,53218984.36333951,Large,Fast,More,False,1,0.48
58524,0.0187948982,16632.5494867578,11149089.88215581,Small,Slow,Less,False,0,0.46
29978,0.1968067451,85936.1585803931,28859580.57972719,Small,Fast,Medium,False,0,0.48
86971,0.0651688382,30125.4990914973,69617357.10979018,Small,Slow,More,False,0,0.46
30596,0.0517654482,36446.8251301139,48026604.48965016,Small,Slow,Medium,False,0,0.46
66647,0.0783501764,41563.4762402053,9233045.374724455,Small,Slow,Less,False,0,0.46
11537,0.3750075218,117039.0001009147,39261336.41039275,Large,Fast,Medium,False,1,0.48
24903,0.1794898848,54061.1365999169,40082037.0571169,Small,Fast,Medium,False,0,0.48
21866,0.0941976306,32443.8179570421,6976965.746531172,Small,Slow,Less,False,0,0.46
48856,0.6457136672,67735.0732104914,32349397.80615403,Large,Fast,Medium,False,1,0.48
85234,0.0891332986,30345.0866014723,9066578.070994332,Small,Slow,Less,False,0,0.46
53245,0.0517654482,34768.0618118178,11430548.879814574,Small,Slow,Less,False,0,0.46
88941,0.0968366995,29956.291788516,14370253.703555671,Small,Slow,Less,False,0,0.46
33436,1.071617948,39526.2979178339,20519868.40013227,Large,Slow,Less,True,1,0.45
3837,0.1879489824,49792.3579805911,3124993.379571022,Small,Fast,Less,False,0,0.48
48348,0.5420507863,95054.5733094248,58560068.798307925,Large,Fast,More,False,1,0.48
59134,0.0247765013,42375.1105797952,25748785.62375659,Small,Slow,Medium,False,0,0.46
9615,0.0494356193,42291.0291181259,797402.304369924,Small,Slow,Less,False,0,0.46
77135,0.0074823838,49155.1593117721,256647.846844163,Small,Fast,Less,False,0,0.48
22404,0.0472106499,63438.7893322943,57084831.8878628,Small,Fast,More,False,0,0.48
27837,0.0337318359,102271.7728236118,64198726.53949685,Small,Fast,More,False,0,0.48
83584,0.0310484539,27556.9669527554,55654979.59026379,Small,Slow,More,False,0,0.46
61385,0.0622357573,21365.7099275467,9149724.32778374,Small,Slow,Less,False,0,0.46
33710,0.2594418179,30849.9400787948,24559682.390091337,Small,Slow,Less,True,0,0.45
219,0.0247765013,50175.2093220457,24268700.4258622,Small,Fast,Less,False,0,0.48
82184,0.2366137501,33865.4101024622,36711584.77899156,Small,Slow,Medium,False,0,0.46
7241,0.2259643771,90377.1754303482,71401516.03031102,Small,Fast,More,False,0,0.48
54310,0.0494356193,43390.5513684275,20410614.56242705,Small,Slow,Less,False,0,0.46
5887,0.4721064988,55035.6760410116,69010156.79857181,Large,Fast,More,False,1,0.48
15559,0.5943468684,119785.0787103535,55356636.22900748,Large,Fast,More,True,1,0.47
1341,0.0403682552,30319.4156835787,71142802.82031384,Small,Slow,More,False,0,0.46
22716,0.3266178974,63294.9004458029,68814868.64239791,Large,Fast,More,False,1,0.48
67391,0.0450858206,55020.5280612569,30883545.63384739,Small,Fast,Medium,False,0,0.48
19253,0.0331161605,50473.4807031329,9868291.41198298,Small,Fast,Less,False,0,0.48
24151,1.7062394488,43685.9773071797,72339272.02870108,Large,Slow,More,True,1,0.45
24730,0.1968067451,97335.7721073385,68931977.44538279,Small,Fast,More,False,0,0.48
86726,0.0461360043,31227.2794841457,5867645.659939856,Small,Slow,Less,False,0,0.46
58929,0.1241766613,52678.7269279675,66379436.57665523,Small,Fast,More,False,0,0.48
80472,0.0027166893,15104.0117069735,23149910.25554755,Small,Slow,Less,False,0,0.46
51659,1.1858779086,80819.1698296198,45341266.504270606,Large,Fast,Medium,False,1,0.48
63903,0.023661375,49587.699070219,64120284.31293066,Small,Fast,More,False,0,0.48
21466,0.2679414966,94678.5865555004,53193863.33549698,Small,Fast,More,True,0,0.47
49568,0.0527278398,51505.7548421574,67748666.23732968,Small,Fast,More,False,0,0.48
81947,0.0472106499,63513.7062691266,1209609.870328262,Small,Fast,Less,False,0,0.48
25875,0.4699373665,23251.5735109574,65504762.27505719,Large,Slow,More,True,1,0.45
71305,0.2259643771,68053.2494020333,15149386.921563964,Small,Fast,Less,False,0,0.48
27735,0.1563291544,33278.3299332858,38499860.70769374,Small,Slow,Medium,False,0,0.46
80542,0.9290519063,54977.856801304,41521281.70738599,Large,Fast,Medium,False,1,0.48
41152,0.4305662442,74474.3260798344,43882933.86889952,Large,Fast,Medium,False,1,0.48
83063,0.3855138443,66309.3350506264,49667523.73388196,Large,Fast,Medium,False,1,0.48
7651,0.0074480053,75644.0148278434,70730930.937016,Small,Fast,More,False,0,0.48
63616,0.0292442157,76218.9963170512,72826120.06063575,Small,Fast,More,False,0,0.48
18816,0.5272783976,74013.9488265654,61274338.68263016,Large,Fast,More,True,1,0.47
36315,2.3016536853,42786.7761189402,52994306.0899471,Large,Slow,More,False,1,0.46
15492,0.4571302686,22162.7254161866,53622881.87233785,Large,Slow,More,False,1,0.46
19835,0.5943468684,90898.6691851819,15156173.638373531,Large,Fast,Less,False,1,0.48
5,0.0812905344,34297.5877783029,40585691.22792288,Small,Slow,Medium,False,0,0.46
89415,0.1652113876,36031.8221099604,18489502.980661567,Small,Slow,Less,False,0,0.46
27465,0.0986370281,21163.0945497358,43634024.61515194,Small,Slow,Medium,False,0,0.46
3207,0.1492931834,25646.6694583619,72535467.27155976,Small,Slow,More,False,0,0.46
34669,0.7835017643,99331.3028441833,22003151.98552748,Large,Fast,Less,False,1,0.48
26563,0.0225964377,44021.2988841134,49484956.04915181,Small,Slow,Medium,False,0,0.46
33549,0.1241766613,47591.6389475659,35164312.3802,Small,Slow,Medium,False,0,0.46
17597,1.2417666126,40800.6390004114,47484474.80882505,Large,Slow,Medium,False,1,0.46
35638,0.0094197631,21296.497024604,11636454.445615992,Small,Slow,Less,False,0,0.46
30648,0.4721064988,104290.4814536506,51770559.43034086,Large,Fast,More,False,1,0.48
56078,0.0259441818,28842.1653546472,1023790.212140263,Small,Slow,Less,False,0,0.46
80654,0.2060819612,96460.5485598404,38950295.19689062,Small,Fast,Medium,False,0,0.48
80897,0.0285785361,10316.0397712623,21345227.853643533,Small,Slow,Less,False,0,0.46
11256,0.2716689341,35704.9938681649,70330682.16494632,Small,Slow,More,False,0,0.46
62734,0.0816657545,25483.0438394154,61020634.65259144,Small,Slow,More,False,0,0.46
43514,0.0358129403,50877.3384882914,2354302.971672558,Small,Fast,Less,False,0,0.48
2338,0.8590926012,40433.7609357412,69002715.09740801,Large,Slow,More,False,1,0.46
43612,0.0247765013,38614.7705237226,50106738.816662654,Small,Slow,More,False,0,0.46
63687,0.0126485278,52478.0359564259,15461011.746276535,Small,Fast,Less,False,0,0.48
83003,0.0639793729,23609.9791147446,12319220.18644087,Small,Slow,Less,False,0,0.46
87266,0.3999815682,58164.1448639497,54445026.27314559,Large,Fast,More,False,1,0.48
78777,0.0622357573,47808.9707256932,56177148.05330011,Small,Slow,More,False,0,0.46
43581,0.1968067451,16776.238898223,35805885.91368655,Small,Slow,Medium,False,0,0.46
26862,1.2883681464,41184.2503020679,45914216.0091578,Large,Slow,Medium,True,1,0.45
78025,0.5420507863,68388.044767893,55413487.29419232,Large,Fast,More,False,1,0.48
46829,0.4943561926,29339.5777408698,68717389.90735677,Large,Slow,More,True,1,0.45
9180,0.0783501764,83453.3017639578,17189002.186773784,Small,Fast,Less,False,0,0.48
43131,0.0859092601,40598.4973062906,14621651.951704515,Small,Slow,Less,False,0,0.46
37714,0.130028927,54047.1680101516,28913195.76818499,Small,Fast,Medium,False,0,0.48
90748,0.4305662442,35803.1154508377,36637944.494454496,Large,Slow,Medium,False,1,0.46
78097,0.3944936153,64989.2428204658,63626716.94306709,Large,Fast,More,True,1,0.47
9965,0.0567596853,9702.6137090937,6566346.401319476,Small,Slow,Less,False,0,0.46
56542,0.0941976306,24522.858704333,20899980.83514656,Small,Slow,Less,False,0,0.46
27979,0.4305662442,57740.5129613497,31137853.85976348,Large,Fast,Medium,False,1,0.48
71580,0.7482383761,64333.4111971618,64157897.39122923,Large,Fast,More,True,1,0.47
12359,0.2344444622,50609.7076099478,30631410.900424745,Small,Fast,Medium,False,0,0.48
22848,0.7482383761,65637.2078331325,52808947.62703252,Large,Fast,More,False,1,0.48
29378,1.367854737,126476.8839317002,56632308.89272241,Large,Fast,More,False,1,0.48
465,1.1067256584,80976.4231441342,1471204.036105892,Large,Fast,Less,True,1,0.47
77318,0.0472106499,33178.4617438713,4081023.206575211,Small,Slow,Less,False,0,0.46
36394,0.1492931834,45825.0024842215,33713492.99865392,Small,Slow,Medium,False,0,0.46
24853,0.0259441818,43335.2191230335,15019261.667749532,Small,Slow,Less,False,0,0.46
85170,0.1995445996,46488.9871433092,12386457.517584275,Small,Slow,Less,False,0,0.46
65055,0.4943561926,76675.4612548178,41137339.61177905,Large,Fast,Medium,False,1,0.48
62527,0.5420507863,17205.1673552589,16184585.063356178,Large,Slow,Less,True,1,0.45
12802,0.0068240151,20907.8678291541,74125291.01921794,Small,Slow,More,False,0,0.46
78947,0.0748238376,50916.7952993218,21518958.044203434,Small,Fast,Less,False,0,0.48
53137,0.0340439527,70528.6182618583,59086342.04737961,Small,Fast,More,False,0,0.48
55821,0.4943561926,28589.035836026,69695120.1171472,Large,Slow,More,False,1,0.46
69230,0.0358129403,44959.8164307671,43370819.459831856,Small,Slow,Medium,False,0,0.46
60278,0.0187948982,64789.0578379861,32023533.43338657,Small,Fast,Medium,False,0,0.48
35713,0.1241766613,19217.0979680003,24730003.81366585,Small,Slow,Less,False,0,0.46
73328,0.1563291544,17941.5542507204,45955652.46493847,Small,Slow,Medium,False,0,0.46
24025,0.2716689341,42466.3384005414,54768499.75779491,Small,Slow,More,False,0,0.46
81201,0.0171411509,36937.4652043121,2856596.654569391,Small,Slow,Less,False,0,0.46
48116,0.2978790628,38377.7675823924,53310557.09415133,Large,Slow,More,False,1,0.46
16784,0.0187948982,25021.5477432291,56066504.4513826,Small,Slow,More,False,0,0.46
36483,0.1563291544,48044.5991698489,55865821.27242394,Small,Slow,More,False,0,0.46
18711,0.2477650126,61867.9817357418,9089662.982067429,Small,Fast,Less,True,0,0.47
34660,0.6516883822,58941.2284786123,58314797.7198794,Large,Fast,More,False,1,0.48
46383,0.1754041962,10017.4732573557,74249527.8465528,Small,Slow,More,False,0,0.46
18835,0.1032856481,75310.0446135589,11991215.531907111,Small,Fast,Less,False,0,0.48
4121,0.3388753497,59513.7575823628,9754591.331104131,Large,Fast,Less,True,1,0.47
56955,0.0188816516,22938.6578611098,66437334.48285496,Small,Slow,More,False,0,0.46
88628,0.0111183407,14009.7148585184,25193288.341021687,Small,Slow,Medium,False,0,0.46
67402,0.0358129403,23472.8187608756,4514786.613857802,Small,Slow,Less,False,0,0.46
5828,0.0430566244,65481.9542446522,53560412.958340906,Small,Fast,More,False,0,0.48
72925,0.6138185073,70050.0998357993,40502764.16193259,Large,Fast,Medium,False,1,0.48
5745,0.0920534307,25558.4369418278,69747306.81050415,Small,Slow,More,False,0,0.46
78799,0.1241766613,22731.7569231024,33077469.710702017,Small,Slow,Medium,False,0,0.46
78163,0.0783501764,25647.0980915516,11924974.956411729,Small,Slow,Less,False,0,0.46
15333,0.1132504611,43556.5285304861,48727674.93608952,Small,Slow,Medium,False,0,0.46
52116,0.2594418179,37465.1846346326,14587860.1116385,Small,Slow,Less,True,0,0.45
84779,0.1607089186,26568.6074942617,17496641.39511424,Small,Slow,Less,False,0,0.46
80532,0.0651688382,49021.8560669974,17146436.9701846,Small,Fast,Less,False,0,0.48
42547,0.067303861,25008.9004584801,66908500.55903197,Small,Slow,More,False,0,0.46
69298,0.9863702813,78658.7071216799,36410688.81431965,Large,Fast,Medium,False,1,0.48
25085,0.6516883822,71378.4200533186,43078758.56584472,Large,Fast,Medium,True,1,0.47
49280,0.0895447192,49359.5554452444,58724848.96717977,Small,Fast,More,False,0,0.48
41060,0.6516883822,54032.6313042412,28151262.8495159,Large,Fast,Medium,False,1,0.48
53042,0.02884297,41537.3880063049,54721289.61710096,Small,Slow,More,False,0,0.46
43760,0.0542050786,17087.6103411693,60738852.20937794,Small,Slow,More,False,0,0.46
35768,0.2259643771,10572.2432716717,40617239.15977804,Small,Slow,Medium,False,0,0.46
35881,0.9863702813,46438.7672426749,67265665.53349613,Large,Slow,More,False,1,0.46
9586,0.2477650126,32520.8095494724,73709622.28214036,Small,Slow,More,False,0,0.46
25439,0.0839537266,83799.8003407972,35911726.48151048,Small,Fast,Medium,False,0,0.48
72416,0.0112730122,83994.894751504,72851526.68577187,Small,Fast,More,False,0,0.48
11380,0.2716689341,35653.9036265801,31010104.609079104,Small,Slow,Medium,True,0,0.45
16681,0.0411187571,62866.6009132201,35292365.76335408,Small,Fast,Medium,False,0,0.48
54094,0.4943561926,24120.1281420081,70884975.40922453,Large,Slow,More,False,1,0.46
83343,0.6855513317,30743.7623124425,51970087.54918545,Large,Slow,More,True,1,0.45
55017,0.69189466,45667.6170947417,53312959.3367478,Large,Slow,More,False,1,0.46
72383,0.0375007522,25760.2299423732,3217012.031713751,Small,Slow,Less,False,0,0.46
9261,1.1325046106,66844.5531370981,42341792.45457395,Large,Fast,Medium,False,1,0.48
72882,0.016369672,5744.6879997568,2881930.620020068,Small,Slow,Less,False,0,0.46
60603,0.0171411509,15791.1338425695,2400846.130263124,Small,Slow,Less,False,0,0.46
10069,1.57050737,84697.6603773308,20744869.2065324,Large,Fast,Less,False,1,0.48
24110,0.2594418179,27733.9123392455,13912796.297472278,Small,Slow,Less,True,0,0.45
89207,0.0567596853,44623.9524313699,3987653.057355328,Small,Slow,Less,False,0,0.46
1719,0.0326617897,36233.5596751886,36765234.71903456,Small,Slow,Medium,False,0,0.46
58679,0.1636967205,65413.3460640073,10294403.14253145,Small,Fast,Less,False,0,0.48
61098,0.0253536201,42114.6500113991,48242978.89943439,Small,Slow,Medium,False,0,0.46
20142,0.154184238,86109.1055332862,66731352.58073512,Small,Fast,More,False,0,0.48
8699,0.0284472297,25881.2509458956,1748266.187807699,Small,Slow,Less,False,0,0.46
62696,0.0783501764,84780.591362352,64478098.67678869,Small,Fast,More,False,0,0.48
69522,0.0171411509,17344.6506671481,4609211.098945871,Small,Slow,Less,False,0,0.46
62786,0.0116960705,62952.0341610067,56403433.75580567,Small,Fast,More,False,0,0.48
49956,0.2259643771,61023.0966867756,47437604.569451526,Small,Fast,Medium,False,0,0.48
8199,1.599705282,79533.6407213404,18729762.78476148,Large,Fast,Less,False,1,0.48
86535,0.1032856481,33280.9747673845,49596090.646238446,Small,Slow,Medium,False,0,0.46
88332,0.0542050786,52063.9140509878,50265797.674835496,Small,Fast,More,False,0,0.48
58495,0.0941976306,54936.6229846134,4946183.367877206,Small,Fast,Less,False,0,0.48
76320,0.007145621,47736.1510081837,219245.447225911,Small,Slow,Less,False,0,0.46
18257,0.1836707413,63421.223798457,51346555.488901325,Small,Fast,More,False,0,0.48
57080,0.4305662442,29728.2264856433,23087277.11300892,Large,Slow,Less,False,1,0.46
14627,0.0259441818,22942.7887162621,7756053.426947837,Small,Slow,Less,False,0,0.46
43410,0.4305662442,15633.9174718303,40673300.82692245,Large,Slow,Medium,False,1,0.46
3023,0.0375007522,49303.8817011155,21740840.019250013,Small,Fast,Less,False,0,0.48
5890,0.2259643771,24388.959571401,58100344.20658512,Small,Slow,More,False,0,0.46
18685,0.4508582062,113993.3732938639,60905376.82405207,Large,Fast,More,False,1,0.48
65398,0.3119176705,75510.0023203159,53765042.81334612,Large,Fast,More,False,1,0.48
12576,0.4305662442,87520.2088164912,22879678.533152923,Large,Fast,Less,False,1,0.48
6685,0.285785361,39347.8298264113,24032299.917692967,Large,Slow,Less,False,1,0.46
55343,0.1361570015,68036.1126109783,37567280.01769674,Small,Fast,Medium,False,0,0.48
11588,0.0594346868,45805.3634796293,56445840.33881351,Small,Slow,More,False,0,0.46
32371,0.0219806221,86803.6321524874,73442972.68074287,Small,Fast,More,False,0,0.48
84427,0.0859092601,74581.2116418305,38834087.97538887,Small,Fast,Medium,False,0,0.48
50118,0.0130028927,58946.671104894,61310956.60597792,Small,Fast,More,False,0,0.48
66690,0.0714562102,24618.1469719451,9132392.920871267,Small,Slow,Less,False,0,0.46
51631,1.2765563162,56437.3140054746,62512405.88257811,Large,Fast,More,False,1,0.48
7844,0.2779969165,87014.6595485377,50659155.265903,Small,Fast,More,True,0,0.47
39135,0.3631114793,70625.8435531766,10758177.961946432,Large,Fast,Less,True,1,0.47
36390,1.4455728362,42306.6475182179,53879745.58890842,Large,Slow,More,True,1,0.45
75689,0.0375007522,23017.5404679929,2571723.100487664,Small,Slow,Less,False,0,0.46
45640,0.41690776,39968.2737775814,38652937.62575846,Large,Slow,Medium,False,1,0.46
86818,1.2023751136,11405.9258416108,41172461.496587664,Large,Slow,Medium,False,1,0.46
76395,0.1492931834,34474.9555759093,24753200.86330229,Small,Slow,Less,False,0,0.46
54497,0.0450858206,25452.547811434,2032013.494325131,Small,Slow,Less,False,0,0.46
49809,0.0783501764,24716.1346069416,5894936.215932263,Small,Slow,Less,False,0,0.46
84225,0.0510551996,72692.8300754208,2186473.519496936,Small,Fast,Less,False,0,0.48
82009,0.0287104486,23098.5035438817,25576221.578512914,Small,Slow,Medium,False,0,0.46
56195,0.2060819612,30733.1225550028,33612330.81997828,Small,Slow,Medium,False,0,0.46
19235,0.2477650126,83511.3295324588,67640060.77175283,Small,Fast,More,False,0,0.48
52936,0.4305662442,95852.952450144,64409062.90997172,Large,Fast,More,True,1,0.47
89191,0.006950883,35928.1999063597,83899.706461663,Small,Slow,Less,False,0,0.46
20493,0.0622357573,72637.9223741424,74456293.18123268,Small,Fast,More,False,0,0.48
28470,0.1047224945,45665.0028736495,35689113.990145124,Small,Slow,Medium,False,0,0.46
6106,0.0613818507,48201.4756738246,45060108.67704373,Small,Fast,Medium,False,0,0.48
36927,0.4508582062,109358.1230288969,64350512.99641538,Large,Fast,More,False,1,0.48
36028,0.1056914799,13004.5696539881,10948433.36153759,Small,Slow,Less,False,0,0.46
83244,0.7482383761,56082.7051448958,18151410.253603503,Large,Fast,Less,True,1,0.47
77653,0.008590926,53663.6211167902,26882506.90315956,Small,Fast,Medium,False,0,0.48
5814,0.0171411509,15168.3063375313,2449348.706795163,Small,Slow,Less,False,0,0.46
85669,0.0450858206,49113.3189317828,57433117.15163778,Small,Fast,More,False,0,0.48
90060,0.0196806745,26193.1437194394,2140269.140242772,Small,Slow,Less,False,0,0.46
27675,0.5176544822,39196.3075538609,30435704.67804333,Large,Slow,Medium,False,1,0.46
53405,0.0986370281,37987.9096038736,73771611.3310497,Small,Slow,More,False,0,0.46
55759,0.0517654482,28387.1120224279,10941485.946696067,Small,Slow,Less,False,0,0.46
61422,0.4943561926,68443.6614890026,28219501.08016833,Large,Fast,Medium,False,1,0.48
9209,0.0517654482,32186.5528010933,14146715.231294584,Small,Slow,Less,False,0,0.46
25059,0.6427468824,52555.3388019666,39056578.45473146,Large,Fast,Medium,False,1,0.48
55672,1.0328564805,43883.6606228016,27200232.04477477,Large,Slow,Medium,True,1,0.45
28876,0.0326617897,71648.7321428978,62497542.67596298,Small,Fast,More,False,0,0.48
1811,0.0422707525,47564.7195904074,48793796.7458359,Small,Slow,Medium,False,0,0.46
72650,0.0517654482,33159.1210189079,6943467.881239494,Small,Slow,Less,False,0,0.46
22513,0.0196806745,25257.7127735648,38068169.94898042,Small,Slow,Medium,False,0,0.46
20069,0.0517654482,33786.6255145108,25922934.538754623,Small,Slow,Medium,False,0,0.46
75430,0.2978790628,40180.4620763717,38317121.59876436,Large,Slow,Medium,False,1,0.46
76990,0.0082042706,26103.9794830409,502201.859724227,Small,Slow,Less,False,0,0.46
75045,0.7586474087,43932.991333653,61935998.3930063,Large,Slow,More,False,1,0.46
67977,0.0392681082,44563.3537966805,47474197.89890946,Small,Slow,Medium,False,0,0.46
69981,0.6824015094,69967.5916636721,28789478.763528813,Large,Fast,Medium,True,1,0.47
26201,0.7245026508,88304.869873985,67381606.97942202,Large,Fast,More,False,1,0.48
83077,0.0520043867,27222.0176477072,14511887.850624517,Small,Slow,Less,False,0,0.46
20217,0.1241766613,40425.4683888797,32618213.076076347,Small,Slow,Medium,False,0,0.46
14181,0.2910985075,64099.9387270678,8839575.82461105,Large,Fast,Less,True,1,0.47
20323,0.4943561926,63253.1324395458,35805018.59011565,Large,Fast,Medium,False,1,0.48
88842,0.0859092601,25717.2578550899,11069131.002463983,Small,Slow,Less,False,0,0.46
27853,0.023661375,19076.5550934534,52859459.19824015,Small,Slow,More,False,0,0.46
52461,0.1185877909,38144.3722734452,17789777.673389893,Small,Slow,Less,False,0,0.46
20451,0.358129403,36987.6117610199,26211271.358325783,Large,Slow,Medium,False,1,0.46
8110,0.6950883007,53537.6620270253,67337051.18365505,Large,Fast,More,False,1,0.48
69069,1.2417666126,102594.3010961872,66699833.34175142,Large,Fast,More,False,1,0.48
20579,0.1492931834,36527.7604795578,44184436.66237129,Small,Slow,Medium,False,0,0.46
44260,0.0682401509,47726.4352407764,56116571.77675548,Small,Slow,More,False,0,0.46
76394,0.6824015094,70754.4604663002,74150254.71498057,Large,Fast,More,False,1,0.48
40764,0.023661375,13684.6110201981,2939631.221589057,Small,Slow,Less,False,0,0.46
63917,0.4898239078,75146.2578205049,67724606.54653567,Large,Fast,More,False,1,0.48
22985,0.0072084183,31461.274461282,580637.429185205,Small,Slow,Less,False,0,0.46
15844,0.0981838322,29059.1572120317,67411200.32534692,Small,Slow,More,False,0,0.46
89951,0.3266178974,22752.472850351,50231951.24650672,Large,Slow,More,False,1,0.46
28578,0.0411187571,30230.4021393352,3277943.902395379,Small,Slow,Less,False,0,0.46
23191,0.0899580388,12015.3372391159,62108861.46943233,Small,Slow,More,False,0,0.46
73235,0.1745982871,7728.472859792,35366020.87304006,Small,Slow,Medium,False,0,0.46
64461,0.2060819612,39118.3035756127,43548756.177938506,Small,Slow,Medium,False,0,0.46
77765,0.0430566244,22147.5741049175,37566795.88906984,Small,Slow,Medium,False,0,0.46
17922,0.0247765013,38840.0019384971,24522488.724381097,Small,Slow,Less,False,0,0.46
43768,0.0459240286,17920.3658939817,7642947.743285861,Small,Slow,Less,False,0,0.46
58819,0.708010957,131264.4920951588,45647705.84793496,Large,Fast,Medium,False,1,0.48
81468,0.1241766613,51481.8547221038,16773245.20191268,Small,Fast,Less,False,0,0.48
22841,1.5561088719,43476.8046542226,62685421.77322833,Large,Slow,More,False,1,0.46
17830,0.2844722965,62430.4147730479,11769059.224286528,Small,Fast,Less,False,0,0.48
60672,0.0430566244,23143.160256262,26542092.192762293,Small,Slow,Medium,False,0,0.46
21861,0.1794898848,69785.3037639906,45441582.25819779,Small,Fast,Medium,False,0,0.48
48392,0.0472106499,26217.8110384034,23156142.84688685,Small,Slow,Less,False,0,0.46
